state,date,deaths,hospitalized,negative,positive,recovered
AK,2021-03-07,305,1293,0,56886,0
AL,2021-03-07,10148,45976,1931711,499819,295690
AR,2021-03-07,5319,14926,2480716,324818,315517
AS,2021-03-07,0,0,2140,0,0
AZ,2021-03-07,16328,57907,3073010,826454,0
CA,2021-03-07,54124,0,0,3501394,0
CO,2021-03-07,5989,23904,2199458,436602,0
CT,2021-03-07,7704,0,0,285330,0
DC,2021-03-07,1030,0,0,41419,29570
DE,2021-03-07,1473,0,545070,88354,0
FL,2021-03-07,32266,82237,9339038,1909209,0
GA,2021-03-07,17906,56797,0,1023487,0
GU,2021-03-07,133,0,112887,7749,7590
HI,2021-03-07,445,2226,0,28699,0
IA,2021-03-07,5558,0,1044418,282384,320054
ID,2021-03-07,1879,7184,505964,172931,96017
IL,2021-03-07,23014,0,0,1198335,0
IN,2021-03-07,12737,43217,2483156,667262,0
KS,2021-03-07,4812,9387,974686,295861,0
KY,2021-03-07,4819,19457,0,410709,48145
LA,2021-03-07,9748,0,5261679,433785,415954
MA,2021-03-07,16417,19713,4404792,591356,508745
MD,2021-03-07,7955,35651,3034546,387319,9703
ME,2021-03-07,706,1570,0,45794,12840
MI,2021-03-07,16658,0,0,656072,549881
MN,2021-03-07,6550,25978,3058514,490011,476055
MO,2021-03-07,8161,0,1878583,480643,0
MP,2021-03-07,2,4,17429,145,29
MS,2021-03-07,6808,9162,1459374,297581,278162
MT,2021-03-07,1381,4630,0,100914,97943
NC,2021-03-07,11502,0,0,872176,0
ND,2021-03-07,1478,3880,305912,100391,98326
NE,2021-03-07,2113,6237,771128,203026,157144
NH,2021-03-07,1184,1131,579582,76861,73615
NJ,2021-03-07,23574,64396,10186941,812609,0
NM,2021-03-07,3808,13252,0,186922,156554
NV,2021-03-07,5037,0,1131758,296190,0
NY,2021-03-07,39029,0,0,1681169,0
OH,2021-03-07,17656,50881,0,978471,925655
OK,2021-03-07,4534,24332,3146300,428997,412177
OR,2021-03-07,2296,8714,0,157079,0
PA,2021-03-07,24349,0,3942124,948643,861756
PR,2021-03-07,2062,0,305972,101632,91987
RI,2021-03-07,2547,9020,677570,128781,0
SC,2021-03-07,8754,20725,4657179,525865,218863
SD,2021-03-07,1900,6705,314540,113589,109531
TN,2021-03-07,11543,18870,0,782206,756793
TX,2021-03-07,44451,0,0,2686818,2502609
UT,2021-03-07,1976,14891,1560293,374850,358958
VA,2021-03-07,9596,24661,0,585700,0
VI,2021-03-07,25,0,46167,2714,2559
VT,2021-03-07,208,0,320060,16083,13384
WA,2021-03-07,5041,19599,0,344532,0
WI,2021-03-07,7106,26457,2647864,621654,553203
WV,2021-03-07,2325,0,0,133445,125383
WY,2021-03-07,682,1391,182264,54764,53550
